"id","rewards","rbias_exclude","sd_resp","bandit_exclude"
127,30,FALSE,1.07009368866121,FALSE
128,32,FALSE,1.07507157644148,FALSE
129,10,FALSE,1.02940437478873,FALSE
130,30,FALSE,1.03092874164598,FALSE
131,32,FALSE,1.26808524989648,FALSE
132,0,TRUE,1.05114199682414,FALSE
133,27,FALSE,0.932050745917208,FALSE
134,0,TRUE,1.15314732090856,FALSE
135,36,FALSE,1.04654252483184,FALSE
136,34,FALSE,1.13420992801334,FALSE
137,31,FALSE,1.12616215796401,FALSE
138,32,FALSE,1.12726600375248,FALSE
139,33,FALSE,1.13817936253762,FALSE
140,33,FALSE,1.11020845523278,FALSE
141,36,FALSE,0.759462915222323,FALSE
142,32,FALSE,1.05196633303027,FALSE
143,34,FALSE,1.14056100099246,FALSE
144,35,FALSE,1.17331082474223,FALSE
145,35,FALSE,1.00089156235728,FALSE
146,35,FALSE,1.08154923314595,FALSE
147,31,FALSE,0.806864394278102,FALSE
148,30,FALSE,1.1286582063378,FALSE
149,34,FALSE,1.14478279083456,FALSE
150,37,FALSE,1.11001607123139,FALSE
151,30,FALSE,1.09332143434306,FALSE
152,37,FALSE,1.13419885169043,FALSE
153,30,FALSE,1.21791485043683,FALSE
154,32,FALSE,1.12222857962388,FALSE
155,31,FALSE,0.995454493305046,FALSE
156,29,FALSE,1.07857154742491,FALSE
157,35,FALSE,1.15526976988322,FALSE
158,36,FALSE,1.11630222308581,FALSE
159,30,FALSE,1.23857593701751,FALSE
160,32,FALSE,1.13809105799203,FALSE
161,36,FALSE,1.07525852915595,FALSE
162,0,TRUE,1.1507043942799,FALSE
163,36,FALSE,1.0064615363344,FALSE
164,38,FALSE,1.16412021690072,FALSE
165,0,TRUE,1.26871913408998,FALSE
166,37,FALSE,1.30264516354629,FALSE
167,29,FALSE,1.11543533201145,FALSE
168,35,FALSE,1.09488302764318,FALSE
169,38,FALSE,1.06076676543586,FALSE
170,36,FALSE,1.14439863736638,FALSE
171,28,FALSE,1.10089045730943,FALSE
172,35,FALSE,1.22449866677127,FALSE
173,33,FALSE,1.13735123827074,FALSE
